Date,FB,AAPL,AMZN,NFLX,GOOG
3/2/2015 16:00:00,79.75,29.07,19.28,68.61,28.49
3/3/2015 16:00:00,79.6,32.34,19.23,67.82,28.6
3/4/2015 16:00:00,80.9,32.14,19.14,67.11,28.59
3/5/2015 16:00:00,81.21,31.6,19.39,66.81,28.69
3/6/2015 16:00:00,80.01,31.65,19,64.87,28.31
3/9/2015 16:00:00,79.44,31.79,18.93,63.66,28.36
3/10/2015 16:00:00,77.55,31.13,18.48,62.15,27.67
3/11/2015 16:00:00,77.57,30.56,18.32,62.88,27.48
3/12/2015 16:00:00,78.93,31.11,18.71,64.05,27.7
3/13/2015 16:00:00,78.05,30.9,18.53,62.63,27.29
3/16/2015 16:00:00,78.07,31.24,18.67,60.28,27.65
3/17/2015 16:00:00,79.36,31.76,18.6,59.79,27.47
3/18/2015 16:00:00,80.91,32.12,18.76,60.45,27.9
3/19/2015 16:00:00,82.75,31.87,18.66,60.74,27.82
3/20/2015 16:00:00,83.8,31.48,18.92,61.19,27.94
3/23/2015 16:00:00,84.43,31.8,18.76,60.71,27.86
3/24/2015 16:00:00,85.31,31.67,18.7,62.61,28.43
3/25/2015 16:00:00,82.92,30.85,18.55,60.25,27.86
3/26/2015 16:00:00,83.01,31.06,18.37,59.75,27.68
3/27/2015 16:00:00,83.3,30.81,18.53,59.25,27.34
3/30/2015 16:00:00,83.2,31.59,18.73,60.37,27.53
3/31/2015 16:00:00,82.22,31.11,18.61,59.53,27.32
4/1/2015 16:00:00,81.67,31.06,18.51,59.02,27.05
4/2/2015 16:00:00,81.56,31.33,18.61,59.15,26.7
4/6/2015 16:00:00,82.44,31.84,18.85,60.33,26.76
4/7/2015 16:00:00,82.32,31.5,18.72,60.49,26.78
4/8/2015 16:00:00,82.28,31.4,19.06,63.05,27.01
4/9/2015 16:00:00,82.17,31.64,19.18,62.79,26.96
4/10/2015 16:00:00,82.04,31.78,19.13,64.94,26.93
4/13/2015 16:00:00,83.01,31.71,19.12,67.81,26.88
4/14/2015 16:00:00,83.52,31.58,19.26,68.39,26.45
4/15/2015 16:00:00,82.71,31.7,19.17,67.92,26.55
4/16/2015 16:00:00,82.31,31.54,19.3,80.29,26.62
4/17/2015 16:00:00,80.78,31.19,18.78,81.65,26.13
4/20/2015 16:00:00,83.09,31.9,19.48,81.06,26.7
